date,chain,deposit_usd,withdraw_usd,netflow_usd
2024-03-17,Solana,3039286.9822851266,3661785.6179035185,-622498.6356183919
2024-03-18,Solana,1596442.3693236662,3660975.8054257953,-2064533.436102129
2024-03-19,Solana,3521066.800170712,4778386.554316915,-1257319.7541462025
2024-03-20,Solana,2003999.7906223403,2396656.4744647336,-392656.68384239334
2024-03-25,Solana,2495885.110716634,799262.935195076,1696622.175521558
2024-03-26,Solana,997969.4066975616,5131847.188137245,-4133877.781439684
2024-03-27,Solana,836697.2638827263,1605282.3972644752,-768585.1333817489
2024-03-28,Solana,748381.1472933816,1675855.4257797757,-927474.2784863941
2024-03-29,Solana,579861.9508330305,1679087.882363805,-1099225.9315307746
2024-03-30,Solana,2642165.1133588324,6215181.050082861,-3573015.936724029
2024-03-31,Solana,274508.0643957533,2548324.042711557,-2273815.9783158037
2024-04-01,Solana,1338272.2522936442,1101032.2069800918,237240.0453135525
2024-04-02,Solana,810954.2133467635,1466873.4638564475,-655919.250509684
2024-04-03,Solana,738040.024225128,2707526.7050453736,-1969486.6808202458
2024-04-04,Solana,972139.3226560552,982690.988169454,-10551.665513398824
2024-04-05,Solana,383311.0011156523,629420.6987521818,-246109.6976365295
2024-04-06,Solana,290565.83545288164,735429.8571431077,-444864.02169022604
2024-04-07,Solana,533380.3255839659,1323984.597153799,-790604.271569833
2024-04-08,Solana,754384.4095210672,989204.6686760999,-234820.2591550327
2024-04-09,Solana,1140409.597599072,1470171.6689952193,-329762.07139614737
2024-04-10,Solana,626584.3019747882,701612.1879490971,-75027.88597430894
2024-04-11,Solana,369427.17142911523,1597154.9306691496,-1227727.7592400345
2024-04-12,Solana,834104.0533673388,1545431.7101852105,-711327.6568178716
2024-04-13,Solana,1004442.3983478553,1210987.7531790459,-206545.35483119055
2024-04-14,Solana,3666956.375789815,2407903.1253196443,1259053.2504701708
2024-04-15,Solana,500368.20228960365,1770503.965520064,-1270135.7632304605
2024-04-16,Solana,665028.0122614619,1985388.3679497708,-1320360.3556883088
2024-04-17,Solana,666145.3167386149,770608.2612866961,-104462.94454808114
2024-04-18,Solana,191651.93533309206,1249372.8914005912,-1057720.9560674992
