asset,date,price_usd,market_cap,volume_24h
bitcoin,2024-01-29,43302.7,,1343462280.3618684
bitcoin,2024-01-30,42941.1,,1633251085.6713595
bitcoin,2024-01-31,42580.0,,1711665577.0530825
bitcoin,2024-02-01,43082.94,,1497121440.6440022
bitcoin,2024-02-02,43200.0,,1277919437.2905612
bitcoin,2024-02-03,43011.09,,518775350.0336009
bitcoin,2024-02-04,42582.88,,730999557.7083682
bitcoin,2024-02-05,42708.7,,1262620640.5407174
bitcoin,2024-02-06,43098.95,,1061049582.6002767
bitcoin,2024-02-07,44349.6,,1496013692.382922
bitcoin,2024-02-08,45288.65,,2042912128.1517665
bitcoin,2024-02-09,47132.77,,3453043306.4209757
bitcoin,2024-02-10,47751.09,,1176079377.6922762
bitcoin,2024-02-11,48299.99,,1443314885.7714052
bitcoin,2024-02-12,49917.27,,2898220863.0181804
bitcoin,2024-02-13,49699.59,,2745025370.067447
bitcoin,2024-02-14,51795.17,,2919604456.723313
bitcoin,2024-02-15,51880.0,,2802825737.9920154
bitcoin,2024-02-16,52124.11,,1965003863.9713342
bitcoin,2024-02-17,51642.64,,1319908544.979089
bitcoin,2024-02-18,52137.67,,1139209588.4334626
bitcoin,2024-02-19,51774.73,,1539600521.6007729
bitcoin,2024-02-20,52258.82,,2574874999.3787174
bitcoin,2024-02-21,51849.39,,2210278288.725095
bitcoin,2024-02-22,51288.42,,1820949707.158534
bitcoin,2024-02-23,50744.15,,1559143576.8296163
bitcoin,2024-02-24,51568.22,,847793393.571868
bitcoin,2024-02-25,51728.85,,966951114.4504629
bitcoin,2024-02-26,54476.47,,2710403072.980595
bitcoin,2024-02-27,57037.34,,3795949115.2249317
bitcoin,2024-02-28,62432.1,,7162581994.48574
bitcoin,2024-02-29,61130.98,,4872212871.27608
bitcoin,2024-03-01,62387.9,,2956537377.9660296
bitcoin,2024-03-02,61987.28,,1582566973.834093
bitcoin,2024-03-03,63113.97,,1804536272.9443457
bitcoin,2024-03-04,68245.71,,5568877537.081252
bitcoin,2024-03-05,63724.01,,8674526591.287142
bitcoin,2024-03-06,66074.04,,5197743036.597276
bitcoin,2024-03-07,66823.17,,3548088039.2736087
bitcoin,2024-03-08,68124.19,,5044395324.399055
bitcoin,2024-03-09,68313.27,,1355964036.9092987
bitcoin,2024-03-10,68955.88,,2659307501.0945783
bitcoin,2024-03-11,72078.1,,5352704377.618805
bitcoin,2024-03-12,71452.01,,4909667978.559339
bitcoin,2024-03-13,73072.41,,3829764501.253793
bitcoin,2024-03-14,71388.94,,5132189849.096632
bitcoin,2024-03-15,69499.85,,7065279917.872112
bitcoin,2024-03-16,65300.63,,3788544202.8848557
bitcoin,2024-03-17,68393.48,,3322963634.2425127
bitcoin,2024-03-18,67609.99,,3768277912.418918
bitcoin,2024-03-19,61937.4,,6484805948.535393
bitcoin,2024-03-20,67840.51,,5769770052.062583
bitcoin,2024-03-21,65501.27,,3551223142.964417
bitcoin,2024-03-22,63796.64,,3310481978.1076455
bitcoin,2024-03-23,63990.01,,1706152172.6316135
bitcoin,2024-03-24,67209.99,,2059312948.6486874
bitcoin,2024-03-25,69880.01,,3679964073.8112125
bitcoin,2024-03-26,69988.0,,2738537345.33588
bitcoin,2024-03-27,69469.99,,3426458581.943343
bitcoin,2024-03-28,70780.6,,2500571208.0026274
bitcoin,2024-03-29,69850.54,,1779608477.3224537
bitcoin,2024-03-30,69582.18,,954555919.6855745
bitcoin,2024-03-31,71280.01,,1367523707.261245
bitcoin,2024-04-01,69649.8,,2876486469.465523
bitcoin,2024-04-02,65463.99,,4750030717.922425
bitcoin,2024-04-03,65963.28,,2630556596.1359286
bitcoin,2024-04-04,68487.79,,2795469450.572386
bitcoin,2024-04-05,67820.62,,2555458935.236009
bitcoin,2024-04-06,68896.0,,1373131967.7648187
bitcoin,2024-04-07,69360.39,,1496213373.1855776
bitcoin,2024-04-08,71620.0,,3270853309.6629424
bitcoin,2024-04-09,69146.0,,2749007421.6421075
bitcoin,2024-04-10,70631.08,,2901564970.815804
bitcoin,2024-04-11,70006.23,,2247473274.6162577
bitcoin,2024-04-12,67116.52,,3843551585.3212748
bitcoin,2024-04-13,63924.51,,4614468627.809045
bitcoin,2024-04-14,65661.84,,3946124834.6970353
bitcoin,2024-04-15,63419.99,,3398072231.5612235
bitcoin,2024-04-16,63793.39,,3355338198.4469132
bitcoin,2024-04-17,61277.37,,3128625247.4738536
bitcoin,2024-04-18,63470.08,,2726741448.886802
bitcoin,2024-04-19,63818.01,,4419893235.183288
bitcoin,2024-04-20,64940.59,,1486949581.439479
bitcoin,2024-04-21,64941.15,,1254396628.1531765
bitcoin,2024-04-22,66819.32,,2071690434.976552
bitcoin,2024-04-23,66414.0,,1502139968.7198818
bitcoin,2024-04-24,64289.59,,2195714861.6576557
bitcoin,2024-04-25,64498.34,,2007704069.2622728
bitcoin,2024-04-26,63770.01,,1736631357.3537388
bitcoin,2024-04-27,63461.98,,1320337707.7871158
bitcoin,2024-04-28,63118.62,,1078450016.4732296
bitcoin,2024-04-29,63866.0,,1765038324.6837213
bitcoin,2024-04-30,60672.0,,3372142467.4322524
bitcoin,2024-05-01,58364.97,,4705572361.7402
bitcoin,2024-05-02,59060.61,,2778840305.0505786
bitcoin,2024-05-03,62882.01,,2658193708.347904
bitcoin,2024-05-04,63892.04,,1547468697.8765798
bitcoin,2024-05-05,64012.0,,1182572239.5306182
bitcoin,2024-05-06,63165.19,,2218131198.4661326
bitcoin,2024-05-07,62312.08,,1624531631.592377
bitcoin,2024-05-08,61193.03,,1623561041.1255188
bitcoin,2024-05-09,63074.01,,1895849912.7734754
bitcoin,2024-05-10,60799.99,,2255550468.413852
bitcoin,2024-05-11,60825.99,,814928013.4573288
bitcoin,2024-05-12,61483.99,,781041632.4623835
bitcoin,2024-05-13,62940.08,,2041896626.6108148
bitcoin,2024-05-14,61577.49,,1800171876.1676655
bitcoin,2024-05-15,66206.5,,2794259631.8910465
bitcoin,2024-05-16,65235.21,,2045507646.8293848
bitcoin,2024-05-17,67024.0,,1745971822.3447454
bitcoin,2024-05-18,66915.2,,967145944.6835316
bitcoin,2024-05-19,66274.01,,1204989222.8768685
bitcoin,2024-05-20,71446.62,,3485474763.752294
bitcoin,2024-05-21,70148.34,,3509345769.233608
bitcoin,2024-05-22,69166.62,,1931700812.3032143
bitcoin,2024-05-23,67969.65,,2766790260.7886024
bitcoin,2024-05-24,68549.99,,1906438696.7156012
bitcoin,2024-05-25,69290.57,,837339788.9838961
bitcoin,2024-05-26,68507.67,,818914878.9908898
bitcoin,2024-05-27,69436.43,,1604722197.8374028
bitcoin,2024-05-28,68398.39,,2224860225.7992225
bitcoin,2024-05-29,67652.42,,1573095221.6483984
bitcoin,2024-05-30,68352.17,,1945001081.5215867
bitcoin,2024-05-31,67540.01,,1812659052.2496767
bitcoin,2024-06-01,67766.85,,598305207.9932046
bitcoin,2024-06-02,67765.63,,1046827665.3829314
bitcoin,2024-06-03,68809.9,,2047757076.2268357
bitcoin,2024-06-04,70537.84,,2069902136.99324
bitcoin,2024-06-05,71108.0,,2040073765.8676395
bitcoin,2024-06-06,70799.06,,1551467659.1542966
bitcoin,2024-06-07,69355.6,,2507250591.3329782
bitcoin,2024-06-08,69310.46,,678267390.5310388
bitcoin,2024-06-09,69648.14,,687344656.0725566
bitcoin,2024-06-10,69540.0,,1192466549.9691226
bitcoin,2024-06-11,67314.24,,2793799020.4691243
bitcoin,2024-06-12,68263.99,,2550285139.184372
bitcoin,2024-06-13,66773.01,,1958897960.9172916
bitcoin,2024-06-14,66043.99,,1884451554.428285
bitcoin,2024-06-15,66228.25,,758175888.0283372
