date,chain,fees_usd
2023-01-16,arbitrum,452397.0
2023-01-17,arbitrum,472258.0
2023-01-18,arbitrum,892725.0
2023-01-19,arbitrum,398886.0
2023-01-20,arbitrum,615589.0
2023-01-21,arbitrum,567431.0
2023-01-22,arbitrum,507622.0
2023-01-23,arbitrum,554400.0
2023-01-24,arbitrum,738299.0
2023-01-25,arbitrum,782873.0
2023-01-26,arbitrum,702081.0
2023-01-27,arbitrum,991528.0
2023-01-28,arbitrum,371766.0
2023-01-29,arbitrum,952220.0
2023-01-30,arbitrum,775529.0
2023-01-31,arbitrum,755846.0
2023-02-01,arbitrum,909728.0
2023-02-02,arbitrum,1229186.0
2023-02-03,arbitrum,752995.0
2023-02-04,arbitrum,726559.0
2023-02-05,arbitrum,815040.0
2023-02-06,arbitrum,815066.0
2023-02-07,arbitrum,1316836.0
2023-02-08,arbitrum,1108773.0
2023-02-09,arbitrum,1788818.0
2023-02-10,arbitrum,4803115.0
2023-02-11,arbitrum,683878.0
2023-02-12,arbitrum,759089.0
2023-02-13,arbitrum,1222272.0
2023-02-14,arbitrum,1496589.0
2023-02-15,arbitrum,1319480.0
2023-02-16,arbitrum,1744630.0
2023-02-17,arbitrum,1747350.0
2023-02-18,arbitrum,1085654.0
2023-02-19,arbitrum,1295624.0
2023-02-20,arbitrum,1520295.0
2023-02-21,arbitrum,1715290.0
2023-02-22,arbitrum,1513841.0
2023-02-23,arbitrum,1541969.0
2023-02-24,arbitrum,2002510.0
2023-02-25,arbitrum,827715.0
2023-02-26,arbitrum,801025.0
2023-02-27,arbitrum,1084347.0
2023-02-28,arbitrum,981862.0
2023-03-01,arbitrum,1025980.0
2023-03-02,arbitrum,889504.0
2023-03-03,arbitrum,1083641.0
2023-03-04,arbitrum,545945.0
2023-03-05,arbitrum,500064.0
2023-03-06,arbitrum,669255.0
2023-03-07,arbitrum,726443.0
2023-03-08,arbitrum,703399.0
2023-03-09,arbitrum,1626231.0
2023-03-10,arbitrum,3221889.0
2023-03-11,arbitrum,2325252.0
2023-03-12,arbitrum,1392963.0
2023-03-13,arbitrum,2522223.0
2023-03-14,arbitrum,1527825.0
2023-03-15,arbitrum,1297874.0
2023-03-16,arbitrum,2264706.0
2023-03-17,arbitrum,1478439.0
2023-03-18,arbitrum,1276787.0
2023-03-19,arbitrum,1243015.0
2023-03-20,arbitrum,1208317.0
2023-03-21,arbitrum,1435845.0
2023-03-22,arbitrum,1608141.0
2023-03-23,arbitrum,3854316.0
2023-03-24,arbitrum,3090913.0
2023-03-25,arbitrum,1500681.0
2023-03-26,arbitrum,1571415.0
2023-03-27,arbitrum,1789356.0
2023-03-28,arbitrum,1359346.0
2023-03-29,arbitrum,1334336.0
2023-03-30,arbitrum,2168388.0
2023-03-31,arbitrum,1274320.0
2023-04-01,arbitrum,869026.0
2023-04-02,arbitrum,1439152.0
2023-04-03,arbitrum,1662816.0
2023-04-04,arbitrum,1452055.0
2023-04-05,arbitrum,1557314.0
2023-04-06,arbitrum,1156278.0
2023-04-07,arbitrum,751606.0
2023-04-08,arbitrum,558236.0
2023-04-09,arbitrum,779016.0
2023-04-10,arbitrum,1217884.0
2023-04-11,arbitrum,1209159.0
2023-04-12,arbitrum,1414400.0
2023-04-13,arbitrum,1344228.0
2023-04-14,arbitrum,2147386.0
2023-04-15,arbitrum,975015.0
2023-04-16,arbitrum,947675.0
2023-04-17,arbitrum,1063500.0
2023-04-18,arbitrum,1733437.0
2023-04-19,arbitrum,3135416.0
2023-04-20,arbitrum,1975391.0
2023-04-21,arbitrum,1437899.0
2023-04-22,arbitrum,788400.0
2023-04-23,arbitrum,779486.0
2023-04-24,arbitrum,907790.0
2023-04-25,arbitrum,923201.0
2023-04-26,arbitrum,1689590.0
2023-04-27,arbitrum,2430563.0
2023-04-28,arbitrum,658858.0
2023-04-29,arbitrum,471611.0
2023-04-30,arbitrum,944400.0
2023-05-01,arbitrum,1164212.0
2023-05-02,arbitrum,691604.0
2023-05-03,arbitrum,1135380.0
2023-05-04,arbitrum,675134.0
2023-05-05,arbitrum,1150451.0
2023-05-06,arbitrum,1099436.0
2023-05-07,arbitrum,772745.0
2023-05-08,arbitrum,1207648.0
2023-05-09,arbitrum,993416.0
2023-05-10,arbitrum,1325137.0
2023-05-11,arbitrum,1168162.0
2023-05-12,arbitrum,1048013.0
2023-05-13,arbitrum,529893.0
2023-05-14,arbitrum,556832.0
2023-05-15,arbitrum,653481.0
2023-05-16,arbitrum,837905.0
2023-05-17,arbitrum,637043.0
2023-05-18,arbitrum,537714.0
2023-05-19,arbitrum,419803.0
2023-05-20,arbitrum,310240.0
2023-05-21,arbitrum,407892.0
2023-05-22,arbitrum,822958.0
2023-05-23,arbitrum,755830.0
2023-05-24,arbitrum,781362.0
2023-05-25,arbitrum,1221009.0
2023-05-26,arbitrum,597021.0
2023-05-27,arbitrum,394853.0
2023-05-28,arbitrum,2688349.0
2023-05-29,arbitrum,1085820.0
2023-05-30,arbitrum,613640.0
2023-05-31,arbitrum,604006.0
2023-06-01,arbitrum,674463.0
2023-06-02,arbitrum,625582.0
2023-06-03,arbitrum,416190.0
2023-06-04,arbitrum,421817.0
2023-06-05,arbitrum,1462677.0
2023-06-06,arbitrum,1030172.0
2023-06-07,arbitrum,787843.0
2023-06-08,arbitrum,614138.0
2023-06-09,arbitrum,493073.0
2023-06-10,arbitrum,1433535.0
2023-06-11,arbitrum,571588.0
2023-06-12,arbitrum,711743.0
2023-06-13,arbitrum,686685.0
2023-06-14,arbitrum,3990826.0
2023-06-15,arbitrum,740079.0
2023-06-16,arbitrum,635896.0
2023-06-17,arbitrum,511736.0
2023-06-18,arbitrum,466319.0
2023-06-19,arbitrum,2237532.0
2023-06-20,arbitrum,1147921.0
2023-06-21,arbitrum,1528754.0
2023-06-22,arbitrum,1091447.0
2023-06-23,arbitrum,1102506.0
2023-06-24,arbitrum,644846.0
2023-06-25,arbitrum,725310.0
2023-06-26,arbitrum,1148053.0
2023-06-27,arbitrum,919360.0
2023-06-28,arbitrum,1142929.0
2023-06-29,arbitrum,623959.0
2023-06-30,arbitrum,1584341.0
2023-07-01,arbitrum,409622.0
2023-07-02,arbitrum,656671.0
2023-07-03,arbitrum,739885.0
2023-07-04,arbitrum,511460.0
2023-07-05,arbitrum,739102.0
2023-07-06,arbitrum,958887.0
2023-07-07,arbitrum,537560.0
2023-07-08,arbitrum,390435.0
2023-07-09,arbitrum,430642.0
2023-07-10,arbitrum,713552.0
2023-07-11,arbitrum,542684.0
2023-07-12,arbitrum,728804.0
2023-07-13,arbitrum,1641268.0
2023-07-14,arbitrum,1300652.0
2023-07-15,arbitrum,457068.0
2023-07-16,arbitrum,445583.0
2023-07-17,arbitrum,762086.0
2023-07-18,arbitrum,624093.0
2023-07-19,arbitrum,493670.0
2023-07-20,arbitrum,655111.0
2023-07-21,arbitrum,520726.0
2023-07-22,arbitrum,395753.0
2023-07-23,arbitrum,363953.0
2023-07-24,arbitrum,763427.0
2023-07-25,arbitrum,364206.0
2023-07-26,arbitrum,489821.0
2023-07-27,arbitrum,403556.0
2023-07-28,arbitrum,364612.0
2023-07-29,arbitrum,217973.0
2023-07-30,arbitrum,378982.0
2023-07-31,arbitrum,452159.0
2023-08-01,arbitrum,726489.0
2023-08-02,arbitrum,539312.0
2023-08-03,arbitrum,493175.0
2023-08-04,arbitrum,479763.0
2023-08-05,arbitrum,217153.0
2023-08-06,arbitrum,273775.0
2023-08-07,arbitrum,599494.0
2023-08-08,arbitrum,542666.0
2023-08-09,arbitrum,439938.0
2023-08-10,arbitrum,401126.0
2023-08-11,arbitrum,401247.0
2023-08-12,arbitrum,209833.0
2023-08-13,arbitrum,278391.0
2023-08-14,arbitrum,371997.0
2023-08-15,arbitrum,540147.0
2023-08-16,arbitrum,889816.0
2023-08-17,arbitrum,2213151.0
2023-08-18,arbitrum,710826.0
2023-08-19,arbitrum,396921.0
2023-08-20,arbitrum,242119.0
2023-08-21,arbitrum,364679.0
2023-08-22,arbitrum,593689.0
2023-08-23,arbitrum,546034.0
2023-08-24,arbitrum,363719.0
2023-08-25,arbitrum,460972.0
2023-08-26,arbitrum,219502.0
2023-08-27,arbitrum,226879.0
2023-08-28,arbitrum,357262.0
2023-08-29,arbitrum,1032472.0
2023-08-30,arbitrum,356996.0
2023-08-31,arbitrum,641269.0
2023-09-01,arbitrum,586936.0
2023-09-02,arbitrum,188056.0
2023-09-03,arbitrum,209527.0
2023-09-04,arbitrum,260290.0
2023-09-05,arbitrum,287371.0
2023-09-06,arbitrum,399664.0
2023-09-07,arbitrum,338625.0
2023-09-08,arbitrum,276088.0
2023-09-09,arbitrum,162999.0
2023-09-10,arbitrum,369718.0
2023-09-11,arbitrum,745352.0
2023-09-12,arbitrum,467119.0
2023-09-13,arbitrum,359966.0
2023-09-14,arbitrum,384396.0
2023-09-15,arbitrum,287852.0
2023-09-16,arbitrum,235057.0
2023-09-17,arbitrum,222401.0
2023-09-18,arbitrum,439127.0
2023-09-19,arbitrum,475808.0
2023-09-20,arbitrum,531173.0
2023-09-21,arbitrum,862453.0
2023-09-22,arbitrum,312003.0
2023-09-23,arbitrum,234639.0
2023-09-24,arbitrum,199269.0
2023-09-25,arbitrum,319958.0
2023-09-26,arbitrum,290733.0
2023-09-27,arbitrum,352223.0
2023-09-28,arbitrum,526564.0
2023-09-29,arbitrum,359238.0
2023-09-30,arbitrum,286302.0
2023-10-01,arbitrum,503178.0
2023-10-02,arbitrum,771034.0
2023-10-03,arbitrum,377756.0
2023-10-04,arbitrum,445663.0
2023-10-05,arbitrum,408548.0
2023-10-06,arbitrum,403441.0
2023-10-07,arbitrum,213596.0
2023-10-08,arbitrum,264990.0
