anchor,month_end,const,log_DEX,z_DXY,z_VIX,log_S_nonUSD,Pol_anchor_l1,sigma_offpeg_l1,tail1_l1,dlog_usd_per_anchor,N_anchor_fc
SGD,2028-10-31,1.0,24.09085301649732,0.7270187893581846,-3.1052670143349935e-07,20.614808278820867,3.166666666666667,0.1696914027499674,0.967741935483871,-0.004894686655439301,2
AUD,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,2.2,6.8980758922680945,0.967741935483871,-0.0010620022892219305,2
CAD,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,3.2,0.20263729279324139,0.9666666666666667,-0.005822031691538476,2
CHF,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,3.2,1.2454159654583514,1.0,-0.0028307697692661836,5
CNY,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,0.19999999999999996,14.579921439716696,1.0,0.001101761436823212,2
EUR,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,4.2,9.318624958980376,0.9786407766990292,-0.0039465327746739665,25
GBP,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,3.2,3.725629465951672,1.0,-0.009480026943746823,3
JPY,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,4.2,5.12564168771965,1.0,-0.012305198001912387,3
SGD,2028-11-30,1.0,24.058366286828605,0.7270187893581846,-2.0856802744884237e-07,20.604360755418796,3.2,0.1696914027499674,0.967741935483871,-0.004894686655439301,2
AUD,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,2.2333333333333334,6.8980758922680945,0.967741935483871,-0.0010620022892219305,2
CAD,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,3.2333333333333334,0.20263729279324139,0.9666666666666667,-0.005822031691538476,2
CHF,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,3.2333333333333334,1.2454159654583514,1.0,-0.0028307697692661836,5
CNY,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,0.2333333333333334,14.579921439716696,1.0,0.001101761436823212,2
EUR,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,4.233333333333333,9.318624958980376,0.9786407766990292,-0.0039465327746739665,26
GBP,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,3.2333333333333334,3.725629465951672,1.0,-0.009480026943746823,3
JPY,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,4.233333333333333,5.12564168771965,1.0,-0.012305198001912387,3
SGD,2028-12-31,1.0,24.025879557159893,0.7270187893581846,-1.4008657506536852e-07,20.593912991988788,3.2333333333333334,0.1696914027499674,0.967741935483871,-0.004894686655439301,2
AUD,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,2.2666666666666666,6.8980758922680945,0.967741935483871,-0.0010620022892219305,2
CAD,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,3.2666666666666666,0.20263729279324139,0.9666666666666667,-0.005822031691538476,2
CHF,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,3.2666666666666666,1.2454159654583514,1.0,-0.0028307697692661836,5
CNY,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,0.2666666666666666,14.579921439716696,1.0,0.001101761436823212,2
EUR,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,4.266666666666667,9.318624958980376,0.9786407766990292,-0.0039465327746739665,26
GBP,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,3.2666666666666666,3.725629465951672,1.0,-0.009480026943746823,3
JPY,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,4.266666666666667,5.12564168771965,1.0,-0.012305198001912387,3
SGD,2029-01-31,1.0,23.993392827491178,0.7270187893581846,-9.409039703292651e-08,20.583465059397355,3.2666666666666666,0.1696914027499674,0.967741935483871,-0.004894686655439301,2
AUD,2029-02-28,1.0,23.960906097822466,0.7270187893581846,-6.319665398341937e-08,20.573017007652687,2.3,6.8980758922680945,0.967741935483871,-0.0010620022892219305,2
CAD,2029-02-28,1.0,23.960906097822466,0.7270187893581846,-6.319665398341937e-08,20.573017007652687,3.3,0.20263729279324139,0.9666666666666667,-0.005822031691538476,2
