anchor,month_end,N_anchor,sigma_offpeg,mean_offpeg,tail1,tail2,dlog_usd_per_anchor,Pol_anchor,cum_events,policy_stage,ban_dummy,any_impulse,Pol_anchor_l1,sigma_offpeg_l1,mean_offpeg_l1,tail1_l1,tail2_l1,N_anchor_l1,cum_events_l1,policy_stage_l1,ban_dummy_l1
CHF,2025-04-30,3,1.1282308433905015,-0.6759443489280081,1.0,1.0,0.06531891847636373,2.0,2.0,2.0,0,0.0,2.0,0.8299322600572786,-0.539337782830076,0.978494623655914,0.967741935483871,3.0,2.0,2.0,0.0
CHF,2025-05-31,3,1.1489520624271505,-0.5881024039580403,1.0,0.978494623655914,0.0021314641730939554,2.0,2.0,2.0,0,0.0,2.0,1.1282308433905015,-0.6759443489280081,1.0,1.0,3.0,2.0,2.0,0.0
CHF,2025-06-30,3,1.36554578817101,-0.9713788534174954,0.9666666666666667,0.9555555555555556,0.03240654984942931,2.0,2.0,2.0,0,0.0,2.0,1.1489520624271505,-0.5881024039580403,1.0,0.978494623655914,3.0,2.0,2.0,0.0
CHF,2025-07-31,3,2.1663989924778284,-0.35555074360777317,0.9777777777777777,0.9777777777777777,-0.018292791435230493,2.0,2.0,2.0,0,0.0,2.0,1.36554578817101,-0.9713788534174954,0.9666666666666667,0.9555555555555556,3.0,2.0,2.0,0.0
CHF,2025-08-31,3,1.4065853645152806,-0.1338100156314357,0.978494623655914,0.978494623655914,0.011171533481503765,2.0,2.0,2.0,0,0.0,2.0,2.1663989924778284,-0.35555074360777317,0.9777777777777777,0.9777777777777777,3.0,2.0,2.0,0.0
CHF,2025-09-30,3,1.411347006030387,-0.20904601455697452,1.0,1.0,0.007094350024716756,2.0,2.0,2.0,0,0.0,2.0,1.4065853645152806,-0.1338100156314357,0.978494623655914,0.978494623655914,3.0,2.0,2.0,0.0
CHF,2025-10-31,3,1.9528959518611706,0.14531872572495924,1.0,1.0,-0.00779831545420781,2.0,2.0,2.0,0,0.0,2.0,1.411347006030387,-0.20904601455697452,1.0,1.0,3.0,2.0,2.0,0.0
CHF,2025-11-30,3,2.7927791688531123,2.167465514482323,1.0,1.0,-0.0063286254631131356,2.0,2.0,2.0,0,0.0,2.0,1.9528959518611706,0.14531872572495924,1.0,1.0,3.0,2.0,2.0,0.0
CNY,2024-11-30,1,4.451797938425165,-3.210812017669254,1.0,0.9166666666666666,-0.017477173668002166,-1.0,1.0,0.0,1,0.0,,,,,,,,,
CNY,2024-12-31,1,5.346200398155739,-4.224890748220879,1.0,1.0,-0.007967085674473129,-1.0,1.0,0.0,1,0.0,-1.0,4.451797938425165,-3.210812017669254,1.0,0.9166666666666666,1.0,1.0,0.0,1.0
